user, film, liked
1, 43, 1
1, 48, 1
1, 54, 1
1, 58, 1
1, 61, 1
1, 72, 1
1, 98, 1
1, 135, 1
1, 139, 1
1, 151, 1
1, 167, 1
1, 169, 1
1, 177, 1
1, 186, 1
1, 202, 1
1, 236, 1
1, 262, 1
1, 266, 1
1, 274, 1
1, 275, 1
1, 278, 1
1, 359, 1
1, 375, 1
1, 380, 1
1, 406, 1
1, 407, 1
1, 420, 1
1, 424, 1
1, 427, 1
1, 458, 1
1, 471, 1
1, 41, 0
1, 80, 0
1, 122, 0
1, 130, 0
1, 137, 0
1, 183, 0
1, 212, 0
1, 213, 0
1, 257, 0
1, 269, 0
1, 288, 0
1, 320, 0
1, 323, 0
1, 348, 0
1, 350, 0
1, 358, 0
1, 395, 0
1, 408, 0
1, 423, 0
2, 65, 1
2, 148, 1
2, 153, 1
2, 192, 1
2, 205, 1
2, 206, 1
2, 299, 1
2, 305, 1
2, 319, 1
2, 323, 1
2, 327, 1
2, 395, 1
2, 401, 1
2, 428, 1
2, 434, 1
2, 447, 1
2, 463, 1
2, 469, 1
2, 17, 0
2, 34, 0
2, 54, 0
2, 55, 0
2, 66, 0
2, 73, 0
2, 128, 0
2, 133, 0
2, 149, 0
2, 157, 0
2, 193, 0
2, 218, 0
2, 240, 0
2, 254, 0
2, 287, 0
2, 320, 0
2, 343, 0
2, 346, 0
2, 352, 0
2, 371, 0
2, 376, 0
2, 393, 0
2, 398, 0
2, 418, 0
2, 419, 0
2, 430, 0
2, 448, 0
2, 449, 0
2, 457, 0
2, 475, 0
2, 476, 0
2, 500, 0
3, 6, 1
3, 27, 1
3, 61, 1
3, 85, 1
3, 93, 1
3, 101, 1
3, 137, 1
3, 138, 1
3, 141, 1
3, 148, 1
3, 170, 1
3, 172, 1
3, 232, 1
3, 251, 1
3, 273, 1
3, 295, 1
3, 304, 1
3, 308, 1
3, 323, 1
3, 333, 1
3, 342, 1
3, 346, 1
3, 349, 1
3, 364, 1
3, 369, 1
3, 399, 1
3, 414, 1
3, 431, 1
3, 436, 1
3, 441, 1
3, 456, 1
3, 464, 1
3, 471, 1
3, 4, 0
3, 5, 0
3, 82, 0
3, 96, 0
3, 122, 0
3, 126, 0
3, 186, 0
3, 199, 0
3, 207, 0
3, 249, 0
3, 288, 0
3, 290, 0
3, 339, 0
3, 370, 0
3, 391, 0
3, 396, 0
3, 490, 0
4, 18, 1
4, 22, 1
4, 72, 1
4, 103, 1
4, 154, 1
4, 210, 1
4, 226, 1
4, 280, 1
4, 299, 1
4, 304, 1
4, 309, 1
4, 310, 1
4, 337, 1
4, 343, 1
4, 348, 1
4, 406, 1
4, 447, 1
4, 467, 1
4, 497, 1
4, 498, 1
4, 10, 0
4, 24, 0
4, 52, 0
4, 76, 0
4, 85, 0
4, 87, 0
4, 112, 0
4, 121, 0
4, 168, 0
4, 176, 0
4, 184, 0
4, 189, 0
4, 201, 0
4, 208, 0
4, 221, 0
4, 234, 0
4, 300, 0
4, 317, 0
4, 319, 0
4, 362, 0
4, 365, 0
4, 368, 0
4, 373, 0
4, 375, 0
4, 382, 0
4, 390, 0
4, 398, 0
4, 435, 0
4, 477, 0
4, 496, 0
5, 5, 1
5, 8, 1
5, 22, 1
5, 69, 1
5, 72, 1
5, 77, 1
5, 100, 1
5, 166, 1
5, 187, 1
5, 212, 1
5, 214, 1
5, 242, 1
5, 248, 1
5, 262, 1
5, 287, 1
5, 293, 1
5, 296, 1
5, 299, 1
5, 316, 1
5, 323, 1
5, 386, 1
5, 405, 1
5, 428, 1
5, 454, 1
5, 51, 0
5, 62, 0
5, 78, 0
5, 102, 0
5, 106, 0
5, 132, 0
5, 142, 0
5, 164, 0
5, 180, 0
5, 194, 0
5, 203, 0
5, 224, 0
5, 228, 0
5, 234, 0
5, 253, 0
5, 259, 0
5, 304, 0
5, 320, 0
5, 332, 0
5, 337, 0
5, 414, 0
5, 422, 0
5, 433, 0
5, 442, 0
5, 463, 0
5, 492, 0
6, 19, 1
6, 29, 1
6, 64, 1
6, 68, 1
6, 79, 1
6, 80, 1
6, 88, 1
6, 89, 1
6, 109, 1
6, 139, 1
6, 153, 1
6, 166, 1
6, 170, 1
6, 174, 1
6, 181, 1
6, 185, 1
6, 217, 1
6, 227, 1
6, 313, 1
6, 314, 1
6, 315, 1
6, 319, 1
6, 321, 1
6, 330, 1
6, 364, 1
6, 394, 1
6, 422, 1
6, 426, 1
6, 437, 1
6, 462, 1
6, 484, 1
6, 4, 0
6, 44, 0
6, 62, 0
6, 120, 0
6, 151, 0
6, 189, 0
6, 216, 0
6, 289, 0
6, 339, 0
6, 370, 0
6, 376, 0
6, 388, 0
6, 390, 0
6, 392, 0
6, 403, 0
6, 411, 0
6, 470, 0
6, 483, 0
6, 495, 0
7, 5, 1
7, 50, 1
7, 61, 1
7, 99, 1
7, 100, 1
7, 126, 1
7, 130, 1
7, 184, 1
7, 223, 1
7, 232, 1
7, 264, 1
7, 307, 1
7, 322, 1
7, 340, 1
7, 352, 1
7, 403, 1
7, 407, 1
7, 424, 1
7, 8, 0
7, 9, 0
7, 15, 0
7, 32, 0
7, 38, 0
7, 49, 0
7, 58, 0
7, 60, 0
7, 67, 0
7, 77, 0
7, 83, 0
7, 86, 0
7, 101, 0
7, 103, 0
7, 112, 0
7, 139, 0
7, 162, 0
7, 193, 0
7, 197, 0
7, 213, 0
7, 219, 0
7, 238, 0
7, 302, 0
7, 306, 0
